Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
34,0.5,3,1,2.5,0.2,2,4,5,2,2,3,1,7,0.1,0.4,2,0.2,0.1,0.05,0.1,13.32,0.1,2.193595055
35,0.5,3,0.5,2.5,0.1,1,4,10,2,1,1.5,1,7,0.2,0.4,4,0.2,0.05,0.1,0.1,13.32,0.1,1.873603066
36,0.5,3,1,2.5,0.1,2,4,5,8,2,1.5,1,7,0.2,0.8,1,0.1,0.05,0.1,0.1,13.32,0.1,2.874497473
37,0.5,3,1,2.5,0.1,2,4,5,2,1,1.5,2,14,0.1,0.4,4,0.2,0.05,0.05,0.1,13.32,0.1,2.476440033
38,0.5,1.5,0.5,2.5,0.2,2,4,10,4,1,1.5,1,7,0.1,0.4,2,0.1,0.05,0.2,0.1,13.32,0.1,2.059829092
39,0.5,3,1,2.5,0.1,1,4,10,4,2,3,1,7,0.1,0.8,2,0.1,0.2,0.2,0.05,13.32,0.1,2.186963768
40,0.5,1.5,1,2.5,0.1,1,4,10,2,4,1.5,1,7,0.1,0.8,4,0.2,0.1,0.1,0.1,13.32,0.1,2.419600566
41,0.5,1.5,1,2.5,0.1,1,4,5,2,1,6,2,7,0.2,0.4,4,0.1,0.05,0.05,0.2,13.32,0.1,0.788813142
42,0.5,3,0.5,2.5,0.1,2,4,10,8,2,3,1,7,0.1,0.8,2,0.2,0.05,0.1,0.05,13.32,0.1,1.521171819
43,0.5,3,1,2.5,0.05,2,4,5,2,1,6,1,7,0.1,0.8,2,0.1,0.05,0.2,0.1,13.32,0.1,1.232068547
44,0.5,1.5,1,2.5,0.1,0.5,4,10,4,4,3,1,7,0.2,0.4,1,0.05,0.05,0.2,0.2,13.32,0.1,2.214410172
45,0.5,3,1,2.5,0.1,1,4,10,2,1,3,2,7,0.1,0.4,1,0.05,0.1,0.05,0.1,20.1,0.1,2.231220308
46,0.5,3,0.5,2.5,0.1,1,4,10,8,1,3,1,7,0.2,0.4,4,0.05,0.1,0.2,0.05,13.32,0.1,1.267972013
47,0.5,3,1,2.5,0.1,2,4,5,4,2,3,2,7,0.1,0.8,4,0.2,0.2,0.05,0.05,13.32,0.1,1.415367643
48,0.5,3,1,2.5,0.2,0.5,4,10,4,4,3,2,7,0.2,0.4,2,0.05,0.05,0.05,0.1,20.1,0.1,1.784980027
49,0.5,1.5,0.5,2.5,0.1,2,4,10,2,4,3,1,7,0.1,0.4,2,0.05,0.05,0.1,0.2,20.1,0.1,1.539589942
50,0.5,3,1,2.5,0.05,2,4,5,8,1,3,1,7,0.1,0.4,2,0.2,0.05,0.05,0.05,13.32,0.1,2.351951399
51,0.5,1.5,1,2.5,0.1,1,4,10,8,2,3,1,7,0.4,0.4,1,0.2,0.05,0.1,0.05,13.32,0.1,2.259888296
52,0.5,1.5,1,2.5,0.05,1,4,10,2,2,3,2,7,0.1,0.8,2,0.2,0.05,0.05,0.2,13.32,0.1,1.97009625
53,0.5,3,0.5,2.5,0.1,1,4,10,2,1,1.5,1,7,0.2,0.8,1,0.05,0.1,0.2,0.1,20.1,0.1,2.80611059
54,0.5,3,1,2.5,0.1,0.5,4,5,2,2,3,2,7,0.2,0.4,4,0.1,0.2,0.2,0.05,13.32,0.1,1.94393013
55,0.5,3,0.5,2.5,0.1,0.5,4,5,4,2,3,1,7,0.4,0.4,2,0.2,0.05,0.2,0.1,13.32,0.1,1.608957794
56,0.5,3,1,2.5,0.1,1,4,5,4,1,1.5,4,7,0.1,0.8,2,0.2,0.05,0.2,0.1,13.32,0.1,2.303676984
57,0.5,1.5,1,2.5,0.05,1,4,10,2,1,1.5,2,7,0.2,0.4,4,0.2,0.05,0.05,0.1,20.1,0.1,2.034241446
58,0.5,3,1,2.5,0.1,2,4,5,2,1,3,2,3.5,0.2,0.4,4,0.2,0.05,0.05,0.2,13.32,0.1,1.770562849
59,0.5,1.5,0.5,2.5,0.1,2,4,10,2,4,1.5,1,7,0.2,0.8,1,0.1,0.1,0.1,0.2,13.32,0.1,1.985054742
60,0.5,3,0.5,2.5,0.2,0.5,4,5,2,2,3,1,7,0.2,0.8,4,0.1,0.05,0.05,0.2,20.1,0.1,2.221138452
61,0.5,1.5,1,2.5,0.2,1,4,5,4,2,1.5,1,7,0.2,0.4,4,0.1,0.1,0.1,0.1,20.1,0.1,1.355451671
62,0.5,3,1,2.5,0.05,1,4,10,4,1,1.5,1,7,0.2,0.8,2,0.2,0.1,0.2,0.05,13.32,0.1,2.877388683
63,0.5,3,0.5,2.5,0.1,1,4,5,2,1,1.5,2,7,0.2,0.8,4,0.05,0.05,0.05,0.2,13.32,0.1,2.02426399
REF,1,6,2,2.5,0.2,1,4,10,4,2,6,2,3.5,0.2,0.2,2,0.1,0.1,0.1,0.1,6.7,0.1,1
TOP6,0.5,3,0.5,2.5,0.1,1,4,5,2,2,3,1,7,0.2,0.4,2,0.1,0.1,0.05,0.1,20.1,0.1,2.234122602
TOP7,0.5,3,1,2.5,0.1,2,4,10,2,1,3,2,7,0.1,0.8,2,0.2,0.05,0.05,0.1,13.32,0.1,2.589280861
